Commune,NPA,Commune d'annonce / District,demand_from_youth,distance_to_venoge_km
Penthaz,1303,Penthaz,42,0.74
Penthalaz,1305,Penthalaz,67,2.72
Bournens,1035,Bournens,12,3.51
Daillens,1306,Daillens,19,3.98
Sullens,1036,Sullens,21,4.12
Mex VD,1031,Mex (VD),13,4.32
Cossonay-Ville,1304,Cossonay,100,4.72
Cossonay-Ville,1304,Cossonay,26,4.72
Lussery-Villars,1307,Lussery-Villars,8,4.85
Gollion,1124,Gollion,18,5.04
Boussens,1034,Boussens,18,5.08
Aclens,1123,Aclens,11,6.28
Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,100,7.81
Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,8,7.81
Bremblens,1121,Bremblens,12,8.46
Oulens-sous-Echallens,1377,Oulens-sous-Echallens,10,8.48
Crissier,1023,Crissier,100,8.59
Crissier,1023,Crissier,100,8.59
Crissier,1023,Crissier,100,8.59
Crissier,1023,Crissier,40,8.59
La Chaux (Cossonay),1308,La Chaux (Cossonay),7,8.88
Grancy,1117,Grancy,10,9.16
Romanel-sur-Lausanne,1032,Lausanne,100,9.17
Romanel-sur-Lausanne,1032,Lausanne,100,9.17
Romanel-sur-Lausanne,1032,Lausanne,100,9.17
Romanel-sur-Lausanne,1032,Lausanne,100,9.17
Romanel-sur-Lausanne,1032,Lausanne,100,9.17
Romanel-sur-Lausanne,1032,Lausanne,100,9.17
Romanel-sur-Lausanne,1032,Lausanne,100,9.17
Romanel-sur-Lausanne,1032,Lausanne,100,9.17
Romanel-sur-Lausanne,1032,Lausanne,100,9.17
Romanel-sur-Lausanne,1032,Lausanne,100,9.17
Romanel-sur-Lausanne,1032,Lausanne,100,9.17
Romanel-sur-Lausanne,1032,Lausanne,100,9.17
Romanel-sur-Lausanne,1032,Lausanne,100,9.17
Romanel-sur-Lausanne,1032,Lausanne,100,9.17
Romanel-sur-Lausanne,1032,Lausanne,100,9.17
Romanel-sur-Lausanne,1032,Lausanne,100,9.17
Romanel-sur-Lausanne,1032,Lausanne,100,9.17
Romanel-sur-Lausanne,1032,Lausanne,100,9.17
Romanel-sur-Lausanne,1032,Lausanne,100,9.17
Romanel-sur-Lausanne,1032,Lausanne,100,9.17
Romanel-sur-Lausanne,1032,Lausanne,100,9.17
Romanel-sur-Lausanne,1032,Lausanne,100,9.17
Romanel-sur-Lausanne,1032,Lausanne,100,9.17
Romanel-sur-Lausanne,1032,Lausanne,100,9.17
Romanel-sur-Lausanne,1032,Lausanne,100,9.17
Romanel-sur-Lausanne,1032,Lausanne,100,9.17
Romanel-sur-Lausanne,1032,Lausanne,100,9.17
Romanel-sur-Lausanne,1032,Lausanne,100,9.17
Romanel-sur-Lausanne,1032,Lausanne,100,9.17
Romanel-sur-Lausanne,1032,Lausanne,100,9.17
Romanel-sur-Lausanne,1032,Lausanne,100,9.17
Romanel-sur-Lausanne,1032,Lausanne,100,9.17
Romanel-sur-Lausanne,1032,Lausanne,100,9.17
Romanel-sur-Lausanne,1032,Lausanne,100,9.17
Romanel-sur-Lausanne,1032,Lausanne,100,9.17
Romanel-sur-Lausanne,1032,Lausanne,100,9.17
Romanel-sur-Lausanne,1032,Lausanne,100,9.17
Romanel-sur-Lausanne,1032,Lausanne,100,9.17
Romanel-sur-Lausanne,1032,Lausanne,100,9.17
Romanel-sur-Lausanne,1032,Lausanne,100,9.17
Romanel-sur-Lausanne,1032,Lausanne,3,9.17
Vullierens,1115,Vullierens,8,9.23
Chevilly,1316,Chevilly,7,9.38
Echandens,1026,Echandens,100,9.7
Morrens VD,1054,Morrens (VD),20,9.71
Eclagnens,1376,Goumoëns,16,10.34
